xs,ys,zs,xe,ye,ze,h
48.36522,-10.387456,-12.569321,0.0,0.0,0.0,0.0
50.82,-10.88,-10.88,52.564916,-11.244725,-11.255764,0.0
50.62,-12.35,-12.06,64.622208,-15.764559,-15.392887,1.0
49.38,-11.8,-11.84,43.01302,-10.276506,-10.312209,0.0
49.95,-11.73,-11.88,48.046706,-11.281943,-11.430986,0.0
48.5,-12.81,-12.9,39.506992,-10.431226,-10.506341,0.0
48.71,-12.42,-13.08,40.823346,-10.401545,-10.960071,0.0
49.25,-11.44,-12.65,42.833166,-9.9494617,-11.006226,0.0
50.29,-11.27,-12.76,51.983414,-11.648731,-13.185073,0.0
50.47,-11.21,-12.84,70.976047,-15.754715,-18.062978,1.0
51.29,-9.85,-11.96,56.988005,-10.935363,-13.289318,0.0
49.69,-10.67,-12.54,45.716589,-9.8104534,-11.538374,0.0
51.09,-11.21,-13.14,59.588047,-13.069094,-15.325581,0.0
51.34,-9.81,-12.13,57.714264,-11.026982,-13.637147,0.0
50.58,-11.67,-13.58,56.513926,-13.033953,-15.175464,0.0
48.99,-10.47,-12.51,38.493223,-8.2237022,-9.8268711,0.0
49.65,-10.79,-12.81,45.586608,-9.8994578,-11.765799,0.0
50.87,-10.88,-13.07,57.417706,-12.278183,-14.749402,0.0
48.53,-10.49,-12.57,68.854689,-14.874954,-17.827049,1.0
50.06,-10.77,-12.94,49.533684,-10.654168,-12.806657,0.0
49.21,-10.55,-12.72,40.869166,-8.7551221,-10.560834,0.0
51.08,-10.96,-13.23,59.22008,-12.701745,-15.34269,0.0
49.94,-10.73,-12.98,62.250922,-13.369705,-16.177985,1.0
52.11,-11.13,-13.49,68.307579,-14.583998,-17.680052,0.0
50.76,-10.86,-13.17,71.352199,-15.254026,-18.517618,1.0
49.96,-10.68,-12.99,47.540529,-10.159078,-12.357864,0.0
49.02,-10.7,-12.93,40.12478,-8.756652,-10.579752,0.0
48.96,-10.4,-12.69,38.505283,-8.1768801,-9.9826824,0.0
51.32,-11.07,-13.47,62.399144,-13.447991,-16.380121,0.0
50.09,-10.71,-13.12,48.3323,-10.328417,-12.663055,0.0
49.58,-10.65,-13.11,45.30407,-9.7287699,-11.977975,0.0
49.2,-10.17,-12.71,40.349422,-8.3352382,-10.425832,0.0
48.83,-10.39,-13.0,37.91821,-8.0667001,-10.096598,0.0
50.85,-11.18,-13.93,59.090519,-12.986418,-16.191986,0.0
51.52,-9.93,-13.16,61.554442,-11.86132,-15.728849,0.0
48.22,-10.46,-13.66,34.246354,-7.4254656,-9.7004793,0.0
51.59,-10.19,-13.81,62.72182,-12.386272,-16.785814,0.0
50.7,-10.48,-14.14,57.194198,-11.819536,-15.944084,0.0
48.21,-10.28,-13.79,34.029611,-7.2546255,-9.7330803,0.0
50.17,-10.82,-14.58,51.76516,-11.155278,-15.047607,0.0
48.47,-10.72,-14.67,38.85004,-8.5918962,-11.758987,0.0
48.94,-9.21,-13.88,39.07083,-7.3465115,-11.07754,0.0
